clip	duration[ms]
common_voice_vi_25132582.mp3	1872
common_voice_vi_25273469.mp3	2988
common_voice_vi_25142229.mp3	2304
common_voice_vi_24566184.mp3	3816
common_voice_vi_25224307.mp3	3276
common_voice_vi_25690806.mp3	5256
common_voice_vi_24476466.mp3	5256
common_voice_vi_24509461.mp3	3600
common_voice_vi_25177634.mp3	2628
common_voice_vi_24546159.mp3	5436
common_voice_vi_25274466.mp3	2916
common_voice_vi_25258176.mp3	3996
common_voice_vi_40249554.mp3	3276
common_voice_vi_24624014.mp3	4968
common_voice_vi_25257942.mp3	3096
common_voice_vi_25257880.mp3	3168
common_voice_vi_25132680.mp3	3348
common_voice_vi_25276350.mp3	2988
common_voice_vi_24425921.mp3	3816
common_voice_vi_23078581.mp3	5760
common_voice_vi_25275292.mp3	3060
common_voice_vi_24777481.mp3	4608
common_voice_vi_25246329.mp3	3276
common_voice_vi_23322817.mp3	2136
common_voice_vi_40191827.mp3	4068
common_voice_vi_37469471.mp3	4320
common_voice_vi_32079987.mp3	2736
common_voice_vi_38565733.mp3	3996
common_voice_vi_25950187.mp3	3996
common_voice_vi_25274436.mp3	2700
common_voice_vi_27701085.mp3	3960
common_voice_vi_24509351.mp3	2808
common_voice_vi_24173770.mp3	4680
common_voice_vi_25258812.mp3	3960
common_voice_vi_23925122.mp3	3984
common_voice_vi_24124240.mp3	4896
common_voice_vi_31156046.mp3	4140
common_voice_vi_25246007.mp3	4500
common_voice_vi_25258319.mp3	4968
common_voice_vi_30646472.mp3	2232
common_voice_vi_30393325.mp3	2808
common_voice_vi_33371113.mp3	3996
common_voice_vi_23989279.mp3	6024
common_voice_vi_27615175.mp3	3636
common_voice_vi_24173771.mp3	7200
common_voice_vi_25275942.mp3	3060
common_voice_vi_25226417.mp3	3348
common_voice_vi_23930584.mp3	5256
common_voice_vi_25721784.mp3	2844
common_voice_vi_32643768.mp3	3240
common_voice_vi_24570165.mp3	3816
common_voice_vi_26942573.mp3	8460
common_voice_vi_25158247.mp3	2700
common_voice_vi_25225965.mp3	3168
common_voice_vi_27617372.mp3	3816
common_voice_vi_24388614.mp3	2808
common_voice_vi_23695847.mp3	4776
common_voice_vi_25177626.mp3	2556
common_voice_vi_25275175.mp3	3528
common_voice_vi_25123454.mp3	4140
common_voice_vi_24535329.mp3	5508
common_voice_vi_24601847.mp3	6300
common_voice_vi_25284472.mp3	3456
common_voice_vi_34008871.mp3	3312
common_voice_vi_24546131.mp3	5616
common_voice_vi_25223637.mp3	3708
common_voice_vi_31156055.mp3	7200
common_voice_vi_24535285.mp3	4176
common_voice_vi_24931521.mp3	3240
