sentence_id	sentence	sentence_domain	source
0022871089ce67bc2b7af856776be81229bf2beb99eee7602e21b352e7be4c92	Mà còn là Quỷ Sai của lữu quỷ		I took sentences from a website of Vietnamese storytelling.
00c3942a7e3e994e7549fa759e7416f8549b1362ce9b20f2fa61aa0db56388cf	Lại bia nữa á? kinh nhì		th? 6 8
01653de08bbce9fb30dd85380649e388529f919e2c69355a0db10316dbd4de40	sau khi đã đào được lộ hết tất cả chiếc áo quan ra		I took sentences from a website of Vietnamese storytelling.
01f03ec6a528cfd8d38706cff500f9e045d1b7b02d9c485511aa9e32edceb99b	Ông Khanh hãi hục quá		I took sentences from a website of Vietnamese storytelling.
0201c3bf4f9d37ae2821ecfccd2a8c5168126caa42f11011f94faaa61b8f441a	Vậy mà những nhát dao tư đâm vào người và vào đầu con quỷ		I took sentences from a website of Vietnamese storytelling.
0280133267ea3e3c7247de28ac2d07ef2aceb52c2571ba9ed811580efa7dada4	Cây cối um tùm của phủ bóng xuống hai bên		I took sentences from a website of Vietnamese storytelling.
02fe7a3dd81ccdb5b0794a9a21a63d5cde8f1d34c321e3ccfe4f86fdc44e1668	Chồng tôi còn Dặn tôi phải gọi mẹ xưng con		I took sentences from a website of Vietnamese storytelling.
038948678374ad0566d3405546597cc8c49e6aa2f0904d43308d129fb4070ce3	lướt từng lớp áo vải bịt kín người		I took sentences from a website of Vietnamese storytelling.
039fb8682f84a40293788dc9a27e2931742adb56ce5f5256cef33256d60c0e3b	Cho anh dáng ngọc đoan trang		th? l?c bát
03a9db394324da4f77680c29fbb61a9ab01c4c165b403771a92f4b818e37866a	Óc em cứ mụ đi, em tựa như không còn linh hồn!		Tác ph?m c?a V? Tr?ng Ph?ng
03c250390dc01710ac70d85aac933669c7bb2b43e9b70796101c827f79f8a37a	Con quỷ đó nó đã chết đâu		I took sentences from a website of Vietnamese storytelling.
03c53aa01d201c3cd9330ae05d6a4e50c403acfccf3b8769397b119fd777d22b	Tử cũng sợ không kém		I took sentences from a website of Vietnamese storytelling.
03d64a3cc713f68cc12c885c0bc3f43df58f82e5cb818444df624e37cee0c9bd	Mà người ta lại đi sợ một con búp bê		I took sentences from a website of Vietnamese storytelling.
03e2d6176bc77532bb0a58f38cc0e83f748b2dbf721d7d63b5004d805ca4784e	Chứ thầy không thể giúp được gì		I took sentences from a website of Vietnamese storytelling.
03e6c2d20ed79badfa5b4b609d6732746fe1cf79876f6f50d9428d360186519c	rồi mương rạch bao quanh nhưng mà cố tìm vậy		I took sentences from a website of Vietnamese storytelling.
03eea97b0f53b0f02d60dd386dcd60982fb49c7ae69f7a0bce0caf78ab42c645	Cứu một mạng người		I took sentences from a website of Vietnamese storytelling.
03f956d92362bd125deda4e65a95b2becb0e6450cde1e5336e05e712cda4102a	Không còn động đất nữa nha		th? l?c bát 
03fbd0fd736286d95a2235d55da2d147a81203f638a347baa52b142e8662a975	Bây giờ con lớn đi xa		th? l?c bát
0407f4488b6c7b7c1d0425f41b3c926e2991955c564e7475ef760a7052416f8c	rồi trộn chung với gạo nếp giã nhuyễn		I took sentences from a website of Vietnamese storytelling.
0422c53ebaff55fb8d66aa789e191b1d622b61530dbab5401f37c3666d9045be	Tôi nhìn qua cửa sổ thấy một ông già tóc bạc trắng		I took sentences from a website of Vietnamese storytelling.
04243047e5f3a71f81674f2dc27544115e3532c17ca9c2b5af3b2d19f2515274	Mẹ là tia nắng ban mai		th? l?c bát
043045c5b4298dbd8228cda546bce411a035925271e34a48de0a76e3d9f98583	Trời lúc này cũng đã nhá nhem		I took sentences from a website of Vietnamese storytelling.
0430a3c6f0ca4398efc4f60fd1992a3e7ddc03e5872086a778ae422b7d28fa18	Mèo gặp mỡ.		ca dao t?c ng? 
04340799faa0d31c0c1ee6dbfe012061e846890873519ee32a07b38244e4a12e	sao trên tầng lại có nhiều gương thế		I took sentences from a website of Vietnamese storytelling.
043f2d4a71e082aa2518f49e7397f2c20c0cf13e368edf196644720ca5d1ce89	Cha là chiếc võng trưa hè		th? l?c bát
0441ed1ea77d3c43b6b1bb0abb62dacc7b95f32f6d9e259683e5757b1f5d9ccf	Trích dẫn với một liên kết hoặc tên đầy đủ của tác phẩm.		common voice
044664127101800c57e31cc465776cfb8cf9580e3348fe6b8688bd232694da8d	Móng tay cào xuống nền nhà mà đến nỗi rơm rớm máu		I took sentences from a website of Vietnamese storytelling.
04533bbb8d544fcf6d4d072fd66efa532f7070a933f15e125355c4d808252dc4	Tiếng chuông này rất lạ		I took sentences from a website of Vietnamese storytelling.
04570c512f79555dc2a531816e96ecec6597e519875120d5f572444c56d1da41	Nỗi buồn man mác biết ai thương mình?		th? l?c bát
04675930202539af11505ae270a14b29ec73c5dfc0367b94c6cd0e03ba7cb5ed	Năm có vẻ chùn chân định đi về		I took sentences from a website of Vietnamese storytelling.
046e051e51f460a38eca6a1e951cc84b52fea341ccd10736b9a209c49d437d4c	Ăn cháo đá bát		ca dao t?c ng? 
04710034ee37c87c26cd90bb024473df48c4416e6061a03dbd40353fb76c617c	Hoa lửa tí tách rồi tàn nó bay		th? l?c bát 
0477b18c3a8f4ba5b279bed8e86ce0d653c6dfb7cb799b981d6d87156ad0c932	Phải cả hồn của ông đại sư gì đó nữa chứ		I took sentences from a website of Vietnamese storytelling.
0498e5ec1363d3b600c64d9912969de9fd9255354829941713fe8894ef4d8a24	Ông nói		I took sentences from a website of Vietnamese storytelling.
04a1bb11503030185de5ed26fa7dc8b5c3658764ea7d08674f764b8fb8c8f380	Đứa bé nheo mắt cười thích thú rồi nói		I took sentences from a website of Vietnamese storytelling.
04a1df38c5ccedaff3e83db0156457f8cb036747fc66c141a193842eebfff34c	Phen này bà chủ cho về..cõi âm!!		th? l?c bát 
04b3f77678a164d2628dbfc261bc2ca06c34a260309389c3a91370104ef1c245	Mẹ lên trên Tháp Nhang cho bố		I took sentences from a website of Vietnamese storytelling.
04be831d451c40b2354fe0bdcf0aac500af716f43d9e181e76206d5b758444af	Đào tiên sinh vung kiếm một nhát nữa		I took sentences from a website of Vietnamese storytelling.
04c4cd664b53fe059fcd6ed5a0d2e15bbd6b60a0ee613db0164dc9bc70e14b20	Thì lấy vợ kế		I took sentences from a website of Vietnamese storytelling.
04c86bb88d1ffa94c974b49f87de137ae4d87d397e491a0dd28a290d713974b3	Đã đến đây rồi có oan ức gì thì mau nói ra		I took sentences from a website of Vietnamese storytelling.
04cb75d944a5134309bf4b1f1967d16b2e4ee6fcd4b20d7e52ffebdcf3e259e0	Thì quả nhiên đề hiệu nghiệm		I took sentences from a website of Vietnamese storytelling.
04ebe3eaf6f473b61b87e6eaff8b1966581f82089abe47d36139239fd66c51e5	con người việt nam thân thiện		tôi t? ngh? 
